stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,5.35
3Month,0,0,0,1.28,0.64,0,0.32,0.32,0.64,0.32,0.64,0.32,1.28,0,0,0,0.32,0.32,43.83
22Month,0.55,1.64,0.55,0,0.55,6.01,0,0,0.55,0,0,0.55,1.64,0.55,0,0.55,0,0,39.36
