stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,1.07,0,0,1.07,1.07
21Day,4.02,0,0,1.34,2.68,0,1.34,0,0
22Month,0,3.83,2.19,0,0.55,0,0,2.19,0
