stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,28.88,4.28,1.07,1.07,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,6.69,2.68,0,1.34,0,0,2.68,0,0
3Month,0,0.32,2.24,0.32,0.96,0,3.52,0.96,0,0.64,1.92,0.96,0.32,0.32,0.32,0.32,0,0,0.64,0,0.64,0,0,0.32,0.64
22Month,1.64,0.55,0.55,0,5.47,1.09,26.79,1.64,0.55,2.73,0,1.09,3.28,0,0.55,0,0.55,0,1.64,0.55,3.28,0.55,0,0,0
