stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,20.43,0,32.69
72hpf,0,0,0,0,0,2.14
21Day,0,1.34,1.34,1.34,1.34,0
