stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,16.35,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,8.17,32.69,0,0,0,0,28.6,228.84,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,4.28,1.07,4.28,0,0,0,0,0,0,0,0,0,0,0,5.35,43.86,1.07,11.77,0,1.07,0,0,48.14,35.3,0,0,0,7.49,1.07,1.07,13.91,0,0,0
21Day,4.02,0,4.02,18.74,0,10.71,0,8.03,0,0,0,0,0,0,0,10.71,2.68,0,5.35,1.34,12.05,0,0,0,0,16.06,21.42,0,0,0,2.68,4.02,0,1.34,0,0,1.34
3Month,1.28,1.6,4.16,48.63,0.32,0,1.6,1.6,0.32,8.96,9.6,0.64,0,97.58,16,2.88,71.99,7.04,14.72,14.08,20.16,6.08,0,4.16,8,0.96,0,1.92,2.56,0,0.64,5.12,70.07,0.64,3.2,1520.08,10.56
22Month,0.55,0.55,4.37,13.67,0,0,0,0.55,0,2.73,12.57,8.2,0,72.71,2.73,3.83,49.2,1.09,3.28,20.77,5.47,0,0,1.09,1.64,0,0.55,0.55,1.09,0.55,0,0.55,15.85,1.09,0,8.2,1.64
