stage,Cardiomyocyte,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,17.12,0,0,0,0,0,3.21,0,0,2.14,0,0,0
21Day,6.69,0,1.34,0,0,0,0,2.68,0,1.34,0,0,0
3Month,0,0,0,0.32,0.32,0,0,0,0,0,0,0.32,0
22Month,0,0.55,0,1.09,7.65,0.55,0,1.09,0.55,0,0,0,0.55
