stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,6.69,0,0,0,4.02
3Month,1.28,4.8,0.32,2.24,3.52,8.32,4.8,0.32,2.24,0.64,1.6,5.44,2.88,0.64,0,0.96,0.96,0.32,0,0.64,4.48,405.38,0,2.56,74.23,4.8
22Month,1.64,1.09,0,0,1.09,7.11,0.55,0,1.09,0,0.55,1.64,6.56,0,0,0,0,0,9.29,0.55,0,68.33,0,0,0,2.19
