stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,4.02,2.68,1.34,0,0,1.34,1.34,0,4.02,0,18.74,0,0,13.39,5.35,2.68,4.02,2.68,0,1.34,0,0
3Month,0,0.64,0,0,0.32,0,0,0,0.96,0,0.32,2.56,0.32,0.32,0,0,0,0,0,1.28,0,0.32,0.32
22Month,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
