stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,1.07,0,0,0,0,3.21,2.14,1.07,0,0,0,0,0,0
21Day,4.02,0,2.68,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0
3Month,0,0.32,1.6,0,0.32,13.44,1.28,0,0.32,0,0.32,0.32,0,0,0,0.32
22Month,0,0,0.55,0,0,4.92,2.19,0,0,0,0,0,0,0.55,0,0
