stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,81.73,0,0,0,0,0,0,0,0,4.09,4.09,0,81.73,0,0,0,0,4.09,40.86,0,12.26,0,0,0,0,0,0,0
72hpf,4.28,1.07,18.19,5.35,2.14,0,0,0,0,0,0,1.07,10.7,0,87.72,0,0,0,3.21,24.61,18.19,1.07,52.42,0,0,5.35,1.07,0,0,0
21Day,2.68,1.34,6.69,4.02,2.68,0,0,0,0,0,1.34,0,0,0,70.94,0,0,14.72,0,2.68,9.37,0,6.69,1.34,2.68,8.03,1.34,0,0,1.34
3Month,0,0.96,6.08,0,0,0.64,1.6,4.8,1.28,0,1.28,0.32,5.12,0.96,13.76,0.96,0,2.88,0.32,0.64,0.32,0,0,0.96,3.52,2.88,0,0.32,1.28,1.28
22Month,0,2.19,2.73,0,0,0,1.09,16.95,1.09,0.55,1.09,0,0.55,1.64,7.11,0,1.09,0,0,0,0.55,0,0,0.55,3.28,2.19,0,0,0,0
