stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,1.07,0,0,20.33,0,0,0,2.14,0,0,2.14,0,0
21Day,0,0,0,1.34,0,1.34,0,0,4.02,0,0,0,0,0,0,0,0,0
3Month,0,0,0.64,0,0.64,0,0.32,0.32,1.6,0,0.32,0,0,0.32,1.28,0,2.24,0.32
22Month,0,0.55,0.55,0,2.19,0,0.55,0,0,0,0,0.55,0,0,3.28,0,0,0
