stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0
21Day,1.34,4.02,1.34,0,0,0,1.34,0,2.68,0,5.35,1.34,0,0,0
3Month,0,0.96,0,0,0.32,0,0,0,0,0,0,0,0,0.96,0.32
22Month,0,0.55,0,0.55,2.73,4.92,0,0.55,0,0.55,0,0,0.55,0,0
