stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,7.49,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,1.34,0,0,0,0,0,53.54,0,1.34,0,0
3Month,0,0,0,0,0,0.32,0,0.32,0,0,0.32,0.32,0,0,0.32,0,0,0,0.32
22Month,1.09,0.55,0.55,0,0.55,0,1.64,5.47,0,0.55,2.19,0,0.55,0.55,2.19,0,10.39,0.55,0.55
