stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,1.07,0,1.07,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,30.79,1.34,0,0,0,0,1.34,0,0,0
3Month,0.96,0.32,6.08,0,0.32,0.32,0.96,0,7.36,1.28,0,2.24,0.64,0.32,2.56,1.92,0.64,0,0.96,0.32,0,0,0,0.96,1.28,0,0.32,0.32,2.88
22Month,1.64,1.09,6.01,0,0,2.19,9.29,3.83,62.87,4.92,1.09,8.75,0,1.64,3.83,9.84,1.64,1.64,0.55,0.55,0,1.09,0,0,2.73,1.09,1.64,0,2.19
