stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,1.07,0,1.07,12.84,0,0,2.14,0
21Day,5.35,1.34,0,0,0,0,0,0,0,2.68,0,1.34,4.02,0,0,0,0
3Month,2.88,0,0,0.32,0.32,0,0,0.64,0.64,1.92,0,0.32,0,0,2.24,0,0.64
22Month,1.64,0,0.55,5.47,0,2.73,0,0,0,0,0.55,0,0,0.55,0,0,0
