stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,20.43,8.17,0,0,0,0,0,0,12.26,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,0,7.49,22.47,1.07,0,0,0,0,0,0,0,0,0,0,0,66.33,29.95,3.21,1.07,0,0,0,0,7.49,6.42,0,0,0,2.14,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,109.76,4.02,32.12,0,38.82,0,0,0,0,0,0,0,14.72,1.34,78.97,20.08,18.74,4.02,0,0,0,0,16.06,12.05,0,0,0,8.03,1.34,0,0,0,0,0,0,0,20.08
3Month,15.36,14.4,34.23,1180.93,2.24,0,5.76,1.6,0.32,1577.99,31.99,0,0,132.78,71.03,14.08,557.03,189.09,67.83,187.81,31.04,5.12,0.32,19.84,14.72,52.47,1.92,188.45,3.2,0,7.68,19.2,0.32,18.56,1.6,4.48,0.32,7.04,34.55,227.16
22Month,2.19,41.55,184.77,596.95,0.55,0,2.73,4.92,0,1473.78,34.99,68.33,0,411.08,92.93,47.01,2081.11,69.97,44.28,181.49,75.98,2.19,20.77,118.62,0,7.65,0,219.76,6.56,0.55,1.64,7.11,0,6.56,7.11,0,0.55,1.09,0,210.46
