stage,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
3Month,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0
22Month,2.19,0.55,0.55,49.2,0.55,3.83,0,0.55,0.55,1.64,0.55,1.09,1.09,0,1.09
