stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,1.07,0,1.07,0,0,0,0,0,0,0,2.14,1.07,1.07,0,0,0,284.56,9.63,0,0,0,1.07,0,0,2.14,0,1.07,0,0,0
21Day,2.68,0,1.34,1.34,5.35,0,1.34,1.34,0,0,0,0,1.34,1.34,5.35,0,0,1.34,252.98,16.06,1.34,1.34,0,2.68,5.35,0,4.02,5.35,2.68,0,0,0
3Month,0,0.64,3.84,0,0,0.64,0,6.4,0.64,0.32,1.28,0.64,1.28,2.56,0.96,0.32,0,0,1.92,0,0.64,0.64,0,0,0.32,4.48,0,0,0,0.32,3.52,0.96
22Month,0,0,2.73,0,0,0,1.64,27.88,0.55,0.55,1.09,0,0,0.55,0.55,0,0.55,0,0,0,0,0,0.55,0,0.55,0.55,0,0,0,0,0,0
