stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,0,0,0,0,0,1.07,0,4.28,0,5.35,0,0,4.28,3.21,0,1.07,0,2.14
21Day,4.02,1.34,9.37,0,1.34,1.34,1.34,0,0,1.34,0,1.34,9.37,0,2.68,2.68,2.68,1.34,1.34,4.02,0
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0
