stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,1.07,2.14,0
21Day,2.68,0,0,1.34,2.68,0,1.34,0
3Month,0.64,0.96,0,0,0,0,0,0.32
22Month,0,0,1.64,0,0,0,0,0
