stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,57.21,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,4.28,4.28,0,0,0,1.07,0,0,0,0,0,2.14,0,2.14,0,1.07,0,0,11.77,12.84,0,13.91,0,9.63,0,0,0,0,1.07,0,0,0,0
21Day,38.82,0,0,57.56,0,2.68,0,0,0,0,0,1.34,0,2.68,9.37,0,18.74,0,0,28.11,0,5.35,4.02,0,4.02,0,9.37,2.68,1.34,1.34,1.34,1.34,1.34,0,0,1.34
3Month,1.28,0.64,0.32,59.51,0.32,0,0.32,0.64,0.96,8,3.84,0,4.16,3.2,3.52,1.28,1.92,0.64,0,79.99,0.96,0.32,0.32,0.32,3.52,0,0,1.92,88.95,0.32,0,0,0,0.96,111.98,1.28
22Month,0,0.55,0,22.96,0.55,0,0.55,0.55,1.09,9.84,1.09,0.55,0.55,1.09,0.55,0,2.19,0.55,1.09,50.29,0,0,0.55,0,3.83,0.55,0,0,9.29,1.09,0,0,0,0,0,0
