stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,0
21Day,0,0,1.34,0,0,0,0,0,0,2.68,0,0,1.34,0,0
22Month,1.64,2.73,0,0.55,4.92,6.01,2.19,1.09,13.12,1.09,3.28,0.55,0,2.19,1.64
