stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,8.17,73.56,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,32.09,11.77,0,5.35,0,0,1.07,0,0,0,0,0,0
21Day,6.69,0,0,5.35,10.71,2.68,0,0,0,0,0,1.34,1.34,0,5.35,1.34,29.45,0,0,4.02,0,49.53,9.37,0,8.03,1.34,1.34,0,4.02,2.68,0,0,0,1.34
3Month,0.32,0.32,0.32,4.8,0,0,4.16,0,0,6.08,0.96,0,3.52,0.64,1.6,1.28,4.16,0.64,0,0.64,1.28,0.64,0.32,0.64,0,0.96,39.35,0,0,0,0,1.6,11.84,1.6
22Month,0,0.55,0.55,1.64,0,0,0,1.09,0.55,17.49,0,0,4.37,0.55,0.55,1.09,1.09,0,1.09,0,0,0.55,0.55,0,0,0,5.47,0,0,0,0,0,0,1.64
