stage,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,6.42,0,1.07
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0.32,0,0.32,0,0,0,0,1.28,0,0
22Month,0,0.55,0.55,1.64,3.28,0.55,0.55,0.55,1.09,0,0.55,0
