stage,Cardiomyocyte,Epithelial_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,4.09,12.26,16.35,16.35,118.51,8.17
72hpf,0,0,0,0,1.07,0,0
22Month,0,0,0.55,0.55,0,0,0
