stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,28.6,4.09,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,163.46,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,3.21,0,21.4,7.49,3.21,0,0,0,0,0,0,0,3.21,8.56,0,5.35,0,1.07,1.07,1.07,286.7,66.33,0,1.07,5.35,1.07,0,9.63,0,1.07,0,0,0
21Day,8.03,0,30.79,0,6.69,2.68,0,0,0,0,5.35,2.68,0,10.71,0,26.77,0,0,2.68,0,153.93,37.48,0,1.34,8.03,6.69,0,9.37,1.34,2.68,1.34,0,1.34
3Month,0,0,1.92,0.32,0,0,0.64,0,5.12,0.64,0,0.32,0,0.96,0.32,0.32,0.96,0,0.32,0,0.32,0,0.32,0,0,0,0.64,0,0,0,0,1.28,0
22Month,0,0.55,1.64,0,0,0,1.64,1.09,25.69,0.55,0,1.09,0,0.55,1.09,1.09,0,0.55,1.09,0,0,0,0,1.09,0,0.55,0.55,0.55,0,0,0,0,0
