stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,2.14,0,0,0,2.14,0,0,0,0,69.54,4.28,0,2.14,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34,6.69,0,0,0,0,119.13,1.34,0,0,0,0,1.34,0,1.34,0,0,1.34
3Month,0,0.32,0,1.6,0,0,0,0.96,0,3.2,0.32,0.32,1.28,0.64,0.64,2.24,1.92,0.64,0,0.64,0.32,3.2,0,0.64,0,0,0,0,0,0,0.32,0.32,0
22Month,0,0,0.55,2.19,0,0,0.55,1.64,0.55,15.85,0.55,0,0.55,0,0.55,1.64,1.09,0,1.09,0.55,0,4.37,0,1.09,0.55,0.55,1.09,0,0,0,0,0,0.55
