stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,7.49,1.07,0,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,4.02,4.02,1.34,0,2.68,0,0,0,0
3Month,0.64,0.32,0.32,0.64,0.32,0.32,1.92,0,0,0.32,0.64,0.64,1.6,0.32,0.32,0.64,0.32,0,14.08,0,0.32,0,1.6,0
22Month,0,0,0,0,0,0.55,4.92,0.55,0.55,0,0,3.28,1.09,0,0,0,0.55,0,5.47,0,0,0.55,0,2.73
