stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,12.26,0,0,0,0,0,4.09,0,122.59,0,0,0,0,4.09,4.09,32.69,16.35,0,0,0,0,24.52,192.06,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,4.28,1.07,2.14,0,1.07,0,0,0,0,0,0,2.14,0,6.42,17.12,2.14,16.05,0,0,0,0,28.88,23.54,0,0,0,11.77,2.14,0,4.28,0,1.07,0,0,0
21Day,5.35,0,0,4.02,0,8.03,0,2.68,0,0,0,0,1.34,0,2.68,0,0,4.02,1.34,25.43,0,0,2.68,1.34,18.74,5.35,1.34,0,0,12.05,10.71,0,0,1.34,0,1.34,0,0
3Month,0.32,3.2,1.6,16.96,0,0,0.96,0.64,1.92,3.84,0.32,0,104.62,11.2,1.28,8,1.92,7.04,3.84,14.08,6.08,0,5.12,0.96,0.64,0.32,3.84,1.6,0,0.64,6.72,59.19,0.32,0,0,6.72,11.84,2.56
22Month,0,1.64,0.55,8.2,0,0,2.73,0.55,1.09,6.01,4.92,0,261.3,7.11,1.64,8.75,0,0.55,7.11,13.12,0.55,1.09,4.37,0,0.55,0,2.73,1.64,4.37,1.09,1.64,15.85,0.55,1.64,0,0,0,3.28
