stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,351.43,122.59,0,1148.28,147.11,8.17,0,4.09,4.09,4.09,61.3,4.09,0,4.09,0,89.9,224.75,257.44,2741.98,0,16.35,12.26,666.08,91282.11,8.17,0,0,486.28,8.17,0,44.95,0,0,179.8,0,0,0
72hpf,139.07,11.77,0,113.4,182.93,79.16,0,0,0,1.07,0,3.21,0,3.21,0,39.58,121.96,8.56,450.38,4.28,12.84,0,1094.4,9313.6,2.14,114.47,0,382.99,6.42,2.14,2011.21,5.35,4.28,36.37,0,0,0
21Day,20.08,12.05,4.02,64.25,24.09,45.51,0,13.39,0,0,0,5.35,2.68,14.72,5.35,5.35,21.42,16.06,78.97,1.34,6.69,1.34,176.69,2722.58,0,40.16,0,48.19,53.54,1.34,574.23,1.34,13.39,13.39,0,0,9.37
3Month,0,0,0.32,6.72,0.96,0,0.32,0,0.32,1.28,0,5.44,1.6,0.96,1.92,0.32,0.96,3.2,0.64,0.32,1.28,0.32,0.96,9.28,3.52,3.84,0,0,1.28,100.14,1.28,0,0,2.56,0.96,5.44,1.28
22Month,1.09,0,0,8.75,4.92,0,0,0,0,2.73,0,16.95,0.55,0,2.73,0,1.09,5.47,3.28,0,1.09,0,0.55,10.93,8.2,33.35,1.09,0,0,55.76,12.03,2.19,0,2.19,0,0,0.55
