stage,Epithelial_cell,Epithelial_cell__Brain_,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,2.14,3.21,37.44,1.07,0,0
21Day,0,0,0,1.34,0,41.49,0,0,0
3Month,0.32,0.32,0.32,0,0.32,1.92,0,1.28,1.6
22Month,0,0,0,0,0,0,0,2.73,0.55
