stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,2.14,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,2.68,0,0,0,0,4.02,2.68,0,0,0,1.34,0,1.34
3Month,7.04,0,0.32,0.32,2.24,0,0,1.92,0.32,1.28,0.96,3.52,0.64,0.32,0.96,0,0.32,0.32,3.2,0,5.12,1.6
22Month,0,0,0,0,0,0.55,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
