stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.96,4.48,0.96,0.64,0.32,211.49,0.32,0,5.12,1.92,1.28,0.32,0.96,0.64,0.64,13.12,0,2.88,0.32,0.32,2.88,1.28,0.32,0,0.32,0.96
22Month,0,0,1.64,0,0.55,0,56.31,0,0.55,1.09,0.55,0,0,0.55,1.09,0,0,0,1.09,0,0,0,0,0,0.55,0,0
