stage,Epithelial_cell,Goblet_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,2.14
21Day,0,0,0,1.34,0
22Month,0.55,0.55,0.55,0,0
