stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,1.07,2.14,1.07,2.14,1.07,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,2.68,0,1.34,0,2.68,0,0
3Month,0,0.32,0,0,0,0,0,0,0.64,0,0,0.64,0,0,0.96
22Month,0,0,0,0.55,1.64,0.55,0,0,0,0,0,0.55,0,0.55,0
