stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,3.21,2.14,1.07,12.84,3.21,0,1.07,2.14,0,0
21Day,1.34,1.34,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0,1.34
3Month,0,0.32,0.32,0,0.64,0,0,0,0,0,0.32,0,0,0.32,0
