stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,16.35,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,16.35,580.27,0,0,0,0,0,0
72hpf,13.91,1.07,0,6.42,6.42,0,0,0,0,0,0,2.14,20.33,1.07,11.77,1.07,2.14,0,638.67,177.59,12.84,0,38.51,0,0,0
21Day,6.69,1.34,0,18.74,8.03,1.34,0,0,0,1.34,0,2.68,5.35,0,20.08,0,6.69,0,81.65,50.86,2.68,5.35,6.69,1.34,2.68,0
3Month,0.64,0,0.64,2.88,0,0,0.64,0,0,0,1.28,0,1.28,0,0.32,0,0,0.64,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
