stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,0,0,0,0,8.17,16.35,0,0
72hpf,0,0,1.07,0,0,0,4.28,1.07,2.14,0
3Month,0,0,0,0.32,0,0.32,0,0,0,0.32
22Month,0,0.55,0,0,2.19,0,0,0,0,6.01
