stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,12.26,0,0,0,0,0,0,16.35,0,0,0,0,16.35,24.52,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,9.63,1.07,1.07,0,0,0,0,0,0,0,0,0,8.56,75.96,0,2.14,0,0,19.26,3.21,0,0,2.14,0,0,0,0,0
21Day,2.68,0,0,93.7,0,4.02,0,0,0,0,0,1.34,0,1.34,0,18.74,33.46,5.35,0,4.02,0,12.05,2.68,1.34,0,1.34,4.02,0,1.34,0,0
3Month,0,0,0.32,82.55,0,0,0.64,0.32,1.28,0,0,3.2,0.64,0,1.92,17.6,8.64,1.28,3.2,0.96,0.32,58.23,0.32,0.32,0.32,0.32,0.32,1.92,0,0.64,0.64
22Month,0,1.09,0,27.33,0,0,1.09,0,5.47,0.55,0,10.39,0.55,0.55,0.55,7.11,6.56,2.73,0,0.55,0,24.05,0,0,0,0,0,0,0,0,0
