stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Muscle_cell,Osteoblast
21Day,1.34,0,0,0,0,0
3Month,0.32,0.32,0.32,0.64,0.96,0.32
22Month,0,0,0,0,1.64,0
