stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,1.07,14.98,2.14,6.42,0,0,0,0,1.07,3.21,0,0,5.35,0,0,0,0,0,0,1.07,0,0,0
21Day,0,2.68,1.34,41.49,0,0,0,0,4.02,0,0,1.34,0,4.02,0,4.02,16.06,18.74,34.8,0,0,1.34,0,5.35,4.02,0,0,13.39,1.34,0,0,0,1.34,1.34,0,0,0,1.34
3Month,0.96,21.76,6.4,231,0.32,1.28,2.24,74.55,80.31,0.64,0,48.95,52.79,11.2,138.22,15.04,55.03,68.79,43.51,14.08,0,48.95,4.8,1.6,0.32,18.88,0.64,1.92,5.76,0.64,5.44,1.28,0.32,0,0.32,15.04,3.52,8.64
22Month,0,56.85,22.41,217.57,1.09,6.01,4.92,43.73,287.54,8.75,0,154.16,45.92,52.48,186.41,7.65,40.45,199.53,113.16,3.28,8.75,65.05,1.09,5.47,0,21.32,4.92,3.83,1.09,0,13.67,4.92,0.55,0,1.64,9.29,0,12.57
