stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,121.96,2.14,0,1.07,0,0,0,0
21Day,0,2.68,1.34,1.34,0,0,1.34,0,0,0,0,0,29.45,4.02,0,0,2.68,1.34,0,0
3Month,0.32,0,0,0,0.32,3.52,0,0.32,0.96,0.96,0,0.32,0,0,0,0,0.64,17.6,0.32,11.52
22Month,0,0.55,0,0,0,3.28,0,0,0,0,0.55,0,0,0,0.55,0,0,3.83,0,0
