stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,2.14,0,0,0,1.07,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0
3Month,1.28,0.64,0.32,0.96,0.64,0.64,0,0.32,0,0,0.64,0.32
