stage,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,20.33,7.49,1.07,0,2.14,0,0,0,0
21Day,4.02,0,1.34,0,1.34,1.34,0,2.68,0,2.68,2.68,0,0,1.34,0,0,1.34,0
3Month,1.28,0,0,1.92,1.28,0,0.64,0,0.32,0,0,0,0,0,0.32,0.32,0,0.64
22Month,1.09,0.55,0,12.57,2.19,0,0,0,2.73,0,0,0.55,1.09,0,0,0,0.55,0
