stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.32,2.88,0.96,1.28,0,5.76,1.28,0.32,1.28,0.32,0.96,1.28,0.32,0.32,0,0.32,0,0.32,0.32,0.64,19.2,0.32,50.23,0.96
22Month,0.55,0.55,4.37,2.19,0.55,0.55,25.15,0.55,0,3.83,0,0,2.19,2.19,0,5.47,0,0.55,0.55,0,0,22.96,0,0.55,2.19
