stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,3.21,0,1.07,0,3.21,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,6.69,0,0,0,4.02,0,1.34,0,1.34,0,0
3Month,0,2.24,0,0.32,0.32,0.32,2.24,0.32,0.96,66.87,2.56,1.28,0.32,0.32,0.32,0.64,0.64,0,0.96,0.32
22Month,0,0,0,0.55,0,0,2.19,0,0,26.24,1.09,1.64,1.64,0,0,0,0,0,0,0
