stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,8.56,0,0,0,3.21,0,0,1.07,0
21Day,1.34,1.34,0,1.34,1.34,28.11,1.34,1.34,0,8.03
22Month,0,0,1.64,0,0,1.09,0,0,0,0
