stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,1.07,0,0,0,3.21,0,0,0,0
21Day,1.34,0,0,1.34,1.34,5.35,0,0,0,0
3Month,0,1.28,1.6,0.32,0.96,0,0.32,0,21.44,3.84
22Month,0,0,1.64,0,0,0.55,0,1.09,6.56,0
