stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
3Month,0.32,0.64,8.32,0.32,0.32,0.32,0.64,4.16,0.96,2.56,1.92,1.92,0.64,0.96,1.6,0,0.64,0.32,0,0.32,0.64,0.32,4.16,0.64,0.32,46.39,0.32
22Month,0.55,0,6.01,0,0,0,1.09,24.05,0,0.55,0,0,0.55,2.19,0,0.55,0,0,0,0.55,0,0,2.73,0,0,1.09,0
