stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0
72hpf,4.28,2.14,2.14,2.14,2.14,0,0,0,0,0,1.07,1.07,1.07,2.14,0,2.14,1.07,0,13.91,8.56,1.07,4.28,0,0,0,0,0
21Day,6.69,1.34,14.72,0,26.77,0,4.02,0,2.68,5.35,1.34,0,1.34,12.05,0,0,2.68,2.68,5.35,9.37,1.34,2.68,2.68,0,0,0,1.34
3Month,0,0,4.8,0,0,1.6,11.84,0.32,0,2.24,0.64,1.6,1.28,1.6,0.32,0,0.32,0.32,0.32,0,0,0,1.28,2.24,0.64,0.96,0
22Month,0,0,1.64,0,0,2.73,13.12,0,1.09,3.83,0,0,2.73,0.55,0,0.55,0.55,0,0,0,0,0,0,1.64,0,0,0
