stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,5.35,0,0,1.07,0,0,0,0,0,0,0,1.07,0
21Day,1.34,0,2.68,1.34,0,0,0,1.34,0,0,0,0,9.37,0,1.34,1.34,0,0,2.68,0,0,1.34,1.34,0,1.34
3Month,0,0.64,1.28,0,0.32,0,0.32,0,0.32,0.32,0,0.32,0.96,0,0,0,0,0,0,0,0.32,0,0,0,0
22Month,0,0,1.09,0,1.09,0.55,5.47,0,0.55,0,0.55,0.55,0.55,0.55,0,0,0,0.55,0,0.55,0,0,0,0,0
