stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,4.09,0,0,0,0,0,0,0,4.09,0
72hpf,7.49,0,0,0,1.07,4.28,0,0,0,0,0,0,0,0,0,2.14,10.7,0,6.42,0,0,0,442.89,21.4,3.21,5.35,5.35,0,0,9.63,9.63,3.21,1.07,0
21Day,2.68,0,1.34,8.03,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,4.02,5.35,0,0,0,133.85,5.35,1.34,4.02,0,6.69,1.34,0,4.02,0,0,0
3Month,0,0.32,0,3.52,0,0,0,0,0.96,0.96,0,7.36,1.28,0,1.92,0,0.64,0.96,0.96,0.32,0,5.12,0.32,0,0.32,0,0.32,0.32,2.24,0,0,0,0,0.64
22Month,0,1.64,1.09,3.28,0,0,0.55,0,0,2.73,1.09,37.72,0.55,0.55,3.83,0,0,3.28,2.73,0,0.55,4.92,0.55,0,3.83,0,0,0.55,1.64,0,0,0,0,0
