stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,8.17,0,0,8.17,0,4.09,69.47,0,4.09,0
72hpf,0,1.07,0,0,0,0,1.07,5.35,0,1.07,0
21Day,2.68,1.34,2.68,0,1.34,0,0,0,1.34,2.68,1.34
22Month,0,0,0,0.55,0,0.55,0,0,0,0,0
