stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,4.28,0,0,0,0,0,1.07,0,0,0,1.07,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,2.68,0,0,2.68,0,0,10.71,0,0,2.68,0,0,0,5.35,0,0,0,2.68,0,17.4,4.02,0,0,0,1.34,0,2.68,0,1.34,0,0,0,2.68
3Month,0,7.68,0,0.64,0,0.32,0.64,135.66,6.72,1.92,0,2.88,1.28,2.24,18.24,2.88,10.24,0.32,0.64,1.28,1.6,0,1.28,0.32,0.32,2.88,4.48,3.52,0,0,0.64,0.32,2.24,1.6
22Month,0,2.19,0,0,0,0,0,19.13,26.79,0,0.55,1.64,0.55,0,7.65,2.19,0.55,0,0,0,0,0,1.64,0.55,1.09,0,4.92,11.48,0.55,0,0.55,0.55,0,0.55
