stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,163.46,0,12.26,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.42,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,27.81,6.42,0,0,0,0,2.14,1.07,0,0,5.35,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,4.02,297.15,10.71,1.34,1.34,0,4.02,2.68,0,0,1.34,14.72,0,0,0,0,0,0,1.34
3Month,0.96,1.6,1.92,19.52,0.32,0,0.32,0.32,0.64,3.2,5.12,0,0,22.4,8.96,1.6,13.76,2.24,7.36,1770.92,6.72,0.64,2.56,2.56,0.96,0,1.6,0.96,5.12,5.76,8,0.64,0,0.64,2.56,8.32,5.12
22Month,0,0.55,0,5.47,0,0,1.64,0.55,0,0,3.83,0.55,0,27.33,1.64,0,1.09,0.55,0,939.15,1.64,0,0.55,0,0.55,0,0,1.64,1.09,3.28,1.64,0,0.55,0,0,0,0.55
