stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,4.09,28.6,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,13.91,0,0,0,0,1.07,0
21Day,0,1.34,0,0,0,1.34,0,6.69,1.34,1.34,0,0,0,0
3Month,0,0.32,0,0.32,0,0,0,0,0,0,0,7.04,0,0.96
22Month,0,0,0.55,0,1.09,0,0,0,0,0,0.55,0,0,0
