stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,21.4,0,0,0,1.07,0
21Day,1.34,1.34,0,1.34,0,0,17.4,1.34,2.68,0,0,0
3Month,0,0,0,0,0.32,0.64,0,0,0,0,0,0.32
22Month,0,0,2.19,0,0,0,0,0,0,1.09,0,0
