stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0,17.12,2.14,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,1.34,0,9.37,0,0,1.34,0,0,0,0,2.68,2.68,0,2.68,2.68,5.35,0,0,0,2.68,1.34,0,1.34,0,0,0,0,0,0,6.69
3Month,0.32,2.56,0,46.39,0,0.96,0.64,8.96,18.56,10.88,13.44,2.24,12.16,2.56,18.24,18.56,14.4,2.24,0,3.2,0.64,0,0.96,0,0.96,1.28,0,0,2.24,0.64,14.72
22Month,0,1.64,1.64,10.39,0,0,0,2.73,12.03,31.16,4.37,3.28,14.76,0,3.28,15.85,16.95,1.09,1.09,0.55,0,0,0.55,0,0,3.83,1.09,0,0,0,3.83
