stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,2.68,0,0,0,0,0,2.68,2.68,0,0,0,1.34,1.34,0,16.06,0,0,2.68,0
3Month,1.92,7.04,4.16,68.47,2.88,0.32,0.32,8.64,18.24,107.82,22.4,1.6,42.55,7.68,16.64,31.67,23.36,3.84,0.96,8,8,3.84,1.92,4.16,3.52,0,0.32,16.32,0.32,683.09,2.88,12.16,4736.85,15.68
22Month,0,0,0,0,0,0,0,0,0.55,6.01,0,0,0.55,0,0.55,2.19,0.55,0,0,0,0.55,0,0,0.55,0,1.09,0,0,0,80.36,0.55,0,12.03,0.55
