stage,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Neural_cell,Oocyte,Pancreatic_cell
24hpf,0,0,0,24.52,0,0,0
21Day,0,0,1.34,0,1.34,0,0
3Month,1.28,0.64,0,0.96,0,0,0.32
22Month,1.64,0,0,3.28,0,0.55,0
