stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,4.09,8.17,12.26,0,0,0,0,24.52,0,122.59,0,0,0
72hpf,3.21,1.07,1.07,0,0,0,1.07,1.07,8.56,3.21,6.42,1.07,0
21Day,4.02,0,0,1.34,0,0,0,13.39,1.34,0,14.72,0,0
3Month,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,2.73,0,0.55,0,0,0,0,0
