stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,16.35,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,12.84,4.28,4.28,0,0,0,0,0,0,0,0,3.21,6.42,0,13.91,0,1.07,0,0,6.42,7.49,0,19.26,0,0,1.07,0,1.07,0,0,0
21Day,0,0,0,12.05,0,0,2.68,0,0,0,0,0,1.34,0,5.35,10.71,9.37,6.69,0,0,2.68,0,1.34,6.69,0,2.68,2.68,0,0,0,1.34,1.34,0,5.35
3Month,0.32,0.96,0,11.84,0,0,0.32,2.56,2.88,0.32,36.15,15.04,0.64,8.96,2.24,3.2,10.24,2.56,0.96,0.32,5.12,1.28,0.64,0,0.64,0,0.64,0.64,0.32,0,0,0.96,0.96,6.08
22Month,0.55,3.28,0.55,9.29,0,0,0.55,2.19,8.2,13.12,56.31,7.65,1.64,4.92,0.55,1.64,12.03,1.64,0,3.28,1.09,0,1.09,0,1.64,0,0.55,0,0.55,0.55,0,1.64,0,4.92
