stage,Endothelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Oligodendrocyte,Primordial_germ_cell
72hpf,1.07,0,0,0,0,0
3Month,0,0.64,1.92,0.32,0.32,0.32
