stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,35.3,0,1.07,0,7.49,1.07,0,0,0,0,1.07,0,0,0,0
21Day,0,2.68,4.02,0,0,0,0,0,1.34,0,10.71,0,0,0,0,0,1.34,1.34,1.34,0,0,4.02,0,0,0
3Month,0,0.32,1.6,0.32,0,0,0.64,0.32,0,3.52,0.96,0,0.32,0,0,0,0,0,0.32,16.96,0,0,0.32,0.32,0.32
22Month,0,3.28,4.37,3.28,0.55,0.55,2.19,0,0,26.79,0,0.55,0,0.55,0,0,0,0,0,16.4,0,0,0,0,0
